system:index,B1,B2,B3,B4,B5,B6,B7,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
0000000000000000035f_0,0.46717632,0.46048748,0.5037034,0.5550483,0.116360165,256.62906,0.06556374,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10233,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05354787487104,43.94590492255488]}"
0000000000000000035f_1,0.46717632,0.46746042,0.5037034,0.5550483,0.12122359,256.62906,0.072314754,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10234,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05392166993404,43.94590801822104]}"
0000000000000000035f_2,0.44048342,0.4395686,0.4859003,0.5263178,0.12608701,257.2642,0.085816786,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10233,555,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05317836697093,43.94563175474495]}"
0000000000000000035f_3,0.47384953,0.46746042,0.5096378,0.5622309,0.12608701,257.2642,0.07906577,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10233,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.0535521602823,43.945634851604666]}"
0000000000000000035f_4,0.47051293,0.46746042,0.49776906,0.5478656,0.12608701,256.62906,0.085816786,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10234,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05392595365342,43.94563794724182]}"
0000000000000000035f_5,0.47051293,0.44654155,0.4918347,0.5335004,0.12122359,256.62906,0.07906577,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10234,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05429974708426,43.94564104165641]}"
0000000000000000035f_6,0.4638397,0.44654155,0.4918347,0.5478656,0.13095042,256.62906,0.07906577,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10234,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05467354057485,43.94564413484844]}"
0000000000000000035f_7,0.3136921,0.3140554,0.29600084,0.31083897,0.12608701,257.2642,0.07906577,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10233,555,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05280886245455,43.945358585757376]}"
0000000000000000035f_8,0.43047357,0.40470383,0.46216288,0.5119525,0.12122359,257.2642,0.072314754,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10233,555,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05318265401428,43.94536168381062]}"
0000000000000000035f_9,0.47718614,0.46746042,0.5096378,0.5550483,0.12122359,257.2642,0.06556374,Asia,Kazakhstan,1.3,1.677,516,0,171608,4.93,,1,SWBD,43.923467,80.027459,13600,0,44.8,15663,6984,1.28,10.05,0.39,10234,554,0.0,3,6.49,1064.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05355644563377,43.945364780641306]}"
