system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Continent,Country,Depth_avg,Dis_avg,Elevation,Grand_id,Hylak_id,Lake_area,Lake_name,Lake_type,Poly_src,Pour_lat,Pour_long,QA_PIXEL,QA_RADSAT,Res_time,SAA,SZA,Shore_dev,Shore_len,Slope_100,VAA,VZA,Vol_res,Vol_src,Vol_total,Wshd_area,.geo
00000000000000000339_0,0.67916834,244.9968,247.00862,0.6895971,0.6165962,0.68784004,0.73068833,0.123670645,0.11851298,0.65077287,0.014566158,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6624,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36446237734013,55.79295464928748]}"
00000000000000000339_1,0.71697235,244.984,246.93214,0.7127782,0.6362634,0.7124948,0.77143955,0.11652926,0.1174361,0.6953215,0.015302967,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6624,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36494001449101,55.792941565376566]}"
00000000000000000339_2,0.7756904,245.1885,247.30043,0.7657718,0.6881801,0.74610466,0.7837386,0.107290804,0.1131286,0.71317494,0.015132934,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6622,212,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36300625135995,55.79272479695195]}"
00000000000000000339_3,0.76367474,245.18,247.3273,0.76616853,0.6866498,0.7508089,0.78498554,0.10859439,0.112958565,0.71544206,0.015813066,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6622,212,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36348388641211,55.79271171873198]}"
00000000000000000339_4,0.7540395,245.16724,247.27802,0.74990207,0.6714035,0.75239587,0.8013654,0.10763087,0.11290189,0.71113455,0.015359645,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6623,212,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36396152107007,55.792698638658834]}"
00000000000000000339_5,0.7670754,245.1502,247.17934,0.75642,0.6784316,0.74508446,0.7959243,0.10666735,0.11284521,0.71068114,0.014679513,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6624,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36443915533373,55.79268555673249]}"
00000000000000000339_6,0.77535033,245.13318,247.10301,0.77580374,0.69271433,0.76310796,0.7987015,0.10462695,0.110691465,0.7094909,0.014679513,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6625,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36491678920306,55.79267247295298]}"
00000000000000000339_7,0.7724598,245.12466,247.10301,0.7730265,0.6924309,0.7673021,0.80544615,0.10241652,0.109841295,0.7128916,0.014622835,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6625,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36539442267802,55.792659387320285]}"
00000000000000000339_8,0.7663953,245.16298,247.10301,0.76016074,0.6799052,0.7578936,0.80635303,0.10355008,0.111031525,0.7142518,0.014962901,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6626,213,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36587205575853,55.79264629983442]}"
00000000000000000339_9,0.75880045,245.21402,247.1075,0.75148904,0.6709501,0.7467281,0.8038592,0.106270604,0.11199505,0.71595216,0.015189612,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16123,6916,1.04,3.9,0.71,-6627,214,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36634968844454,55.79263321049539]}"
00000000000000000339_10,0.7236603,245.26505,247.11649,0.7060336,0.63093567,0.68874687,0.7561366,0.110578105,0.11341199,0.6892003,0.014622835,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16123,6916,1.04,3.9,0.71,-6627,214,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36682732073601,55.792620119303194]}"
00000000000000000339_11,0.7764839,245.29054,247.24663,0.7676988,0.6847228,0.7467848,0.78260505,0.101339646,0.108481035,0.70348305,0.013489282,Europe,Russia,1.4,0.046,109,0,161364,1.13,,1,SWBD,55.789449,72.356343,30048,0,401.5,16122,6916,1.04,3.9,0.71,-6620,211,0.0,3,1.6,260.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.36202777486874,55.792481854602364]}"
